Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,None,0.0,0.0,0.0,686.5048750652821,686.5048750652821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,None,0.0,0.0,0.0,1642.8337489045573,1642.8337489045573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,None,0.0,0.0,0.0,350.0347450127437,350.0347450127437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,None,0.0,0.0,0.0,36394.5246810811,36394.5246810811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,None,0.0,0.0,0.0,2586.405694323541,2586.405694323541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,None,0.0,0.0,0.0,67763.98322377416,67763.98322377416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,None,0.0,0.0,0.0,13414.267438078743,13414.267438078743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,None,0.0,0.0,0.0,8043.0391631697385,8043.0391631697385,0.0,0.0,0.0,65722.07459665938,65722.07459665938,0.0,0.0,0.0,0.0
CT_battery,2,None,0.0,0.0,0.0,26277.89750393562,26277.89750393562,0.0,0.0,0.0,151296.98954902697,151296.98954902697,0.0,0.0,0.0,0.0
ME_battery,3,None,0.0,0.0,0.0,3315.6551084734,3315.6551084734,0.0,0.0,0.0,23298.222700197075,23298.222700197075,0.0,0.0,0.0,0.0
Total,n/a,n/a,0.0,0.0,0.0,160475.14618181888,160475.14618181888,n/a,0.0,0.0,240317.2868458834,240317.2868458834,0.0,0.0,0.0,0.0
